SMI,Samos Airport,GR
JTR,Santorini Airport,GR
JSH,Sitia Airport,GR
SKG,Thessaloniki Macedonia International Airport,GR
ZTH,"Zakynthos International Airport ""Dionysios Solomos""",GR
BUD,Budapest Liszt Ferenc International Airport,HU
DEB,Debrecen International Airport,HU
PEV,Pécs-Pogány Airport,HU
SOB,Hévíz–Balaton Airport,HU
CRV,Crotone Airport,IT
BRI,Bari Karol Wojtyła Airport,IT
FOG,"Foggia ""Gino Lisa"" Airport",IT
TAR,"Taranto-Grottaglie ""Marcello Arlotta"" Airport",IT
LCC,Lecce Galatina Air Base,IT
PSR,Abruzzo Airport,IT
BDS,Brindisi Airport,IT
SUF,Lamezia Terme Airport,IT
CIY,Comiso Airport,IT
CTA,Catania-Fontanarossa Airport,IT
LMP,Lampedusa Airport,IT
PNL,Pantelleria Airport,IT
PMO,Falcone–Borsellino Airport,IT
REG,Reggio Calabria Airport,IT
TPS,Vincenzo Florio Airport Trapani-Birgi,IT
NSY,Sigonella Navy Air Base,IT
AHO,Alghero-Fertilia Airport,IT
DCI,Decimomannu Air Base,IT
CAG,Cagliari Elmas Airport,IT
OLB,Olbia Costa Smeralda Airport,IT
TTB,Tortolì Airport,IT
MXP,Malpensa International Airport,IT
BGY,Milan Bergamo Airport,IT
TRN,Turin Airport,IT
ALL,Villanova D'Albenga International Airport,IT
GOA,Genoa Cristoforo Colombo Airport,IT
LIN,Milano Linate Airport,IT
PMF,Parma Airport,IT
AOT,Aosta Airport,IT
CUF,Cuneo International Airport,IT
AVB,Aviano Air Base,IT
BZO,Bolzano Airport,IT
BLQ,Bologna Guglielmo Marconi Airport,IT
TSF,Treviso-Sant'Angelo Airport,IT
FRL,Forlì Airport,IT
VBS,Brescia Airport,IT
TRS,Trieste–Friuli Venezia Giulia Airport,IT
RMI,Federico Fellini International Airport,IT
VRN,Verona-Villafranca Valerio Catullo Airport,IT
AOI,Marche Airport,IT
VCE,Venice Marco Polo Airport,IT
SAY,Siena-Ampugnano Airport,IT
CIA,Ciampino–G. B. Pastine International Airport,IT
FCO,Rome–Fiumicino Leonardo da Vinci International Airport,IT
QSR,Salerno Costa d'Amalfi Airport,IT
EBA,Marina Di Campo Airport,IT
NAP,Naples International Airport,IT
PSA,Pisa International Airport,IT
FLR,Peretola Airport,IT
GRS,Grosseto Air Base,IT
PEG,Perugia San Francesco d'Assisi – Umbria International Airport,IT
LJU,Ljubljana Jože Pučnik Airport,SI
MBX,Maribor Airport,SI
POW,Portorož Airport,SI
UHE,Kunovice Airport,CZ
KLV,Karlovy Vary International Airport,CZ
OSR,Ostrava Leos Janáček Airport,CZ
PED,Pardubice Airport,CZ
PRV,Přerov Air Base,CZ
PRG,Václav Havel Airport Prague,CZ
BRQ,Brno-Tuřany Airport,CZ
VOD,Vodochody Airport,CZ
MLA,Malta International Airport,MT
GRZ,Graz Airport,AT
INN,Innsbruck Airport,AT
KLU,Klagenfurt Airport,AT
LNZ,Linz-Hörsching Airport / Vogler Air Base,AT
SZG,Salzburg Airport,AT
VIE,Vienna International Airport,AT
AVR,Alverca Air Base,PT
SMA,Santa Maria Airport,PT
BGC,Bragança Airport,PT
BYJ,Beja Airport / Airbase,PT
BGZ,Braga Municipal Aerodrome,PT
CBP,Aerodromo Municipal de Coimbra,PT
CAT,Cascais Airport,PT
FLW,Flores Airport,PT
FAO,Faro Airport,PT
GRW,Graciosa Airport,PT
HOR,Horta Airport,PT
TER,Lajes Airport,PT
FNC,Madeira International Airport Cristiano Ronaldo,PT
QLR,Monte Real Air Base,PT
PDL,João Paulo II Airport,PT
PIX,Pico Airport,PT
PRM,Portimão Airport,PT
OPO,Francisco de Sá Carneiro Airport,PT
PXO,Porto Santo Airport,PT
